"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"30/05/2025";"0000";"8,8";"9,6";"8,8";"78,0";"78,0";"74,0";"5,2";"5,4";"5,1";"917,6";"917,6";"916,7";"2,3";"227,0";"5,1";"";"0,0"
"30/05/2025";"0100";"8,0";"8,8";"7,9";"81,0";"81,0";"78,0";"4,9";"5,1";"4,8";"917,4";"917,6";"917,4";"0,7";"223,0";"5,1";"";"0,0"
"30/05/2025";"0200";"7,2";"8,0";"7,2";"85,0";"85,0";"81,0";"4,9";"4,9";"4,6";"917,6";"917,7";"917,4";"2,0";"228,0";"4,6";"";"0,0"
"30/05/2025";"0300";"6,4";"7,2";"6,4";"89,0";"89,0";"85,0";"4,7";"5,0";"4,6";"917,8";"917,9";"917,6";"0,1";"238,0";"3,6";"";"0,0"
"30/05/2025";"0400";"6,2";"6,6";"6,1";"89,0";"90,0";"88,0";"4,6";"5,0";"4,4";"917,5";"917,9";"917,5";"0,7";"223,0";"3,0";"";"0,0"
"30/05/2025";"0500";"5,8";"6,3";"5,6";"90,0";"90,0";"88,0";"4,3";"4,6";"4,0";"917,2";"917,6";"917,2";"0,5";"220,0";"2,5";"";"0,0"
"30/05/2025";"0600";"5,3";"5,9";"5,3";"91,0";"91,0";"89,0";"3,9";"4,3";"3,8";"916,4";"917,2";"916,4";"0,1";"231,0";"2,7";"";"0,0"
"30/05/2025";"0700";"4,9";"5,4";"4,8";"93,0";"93,0";"91,0";"3,8";"4,1";"3,6";"916,2";"916,5";"916,2";"0,2";"226,0";"2,0";"";"0,0"
"30/05/2025";"0800";"4,5";"5,0";"4,2";"95,0";"95,0";"92,0";"3,7";"3,9";"3,1";"916,2";"916,4";"916,2";"0,0";"210,0";"1,8";"";"0,0"
"30/05/2025";"0900";"4,9";"4,9";"4,1";"96,0";"96,0";"94,0";"4,2";"4,3";"3,3";"916,4";"916,4";"916,1";"0,0";"230,0";"1,7";"";"0,0"
"30/05/2025";"1000";"4,6";"";"";"96,0";"";"";"4,0";"";"";"916,9";"";"";"";"";"";"";"0,0"
"30/05/2025";"1100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/05/2025";"1200";"4,8";"5,0";"4,2";"98,0";"98,0";"97,0";"4,4";"4,7";"3,8";"918,1";"918,1";"917,3";"0,2";"249,0";"2,9";"261,20";"0,0"
"30/05/2025";"1300";"6,2";"6,4";"4,8";"95,0";"98,0";"95,0";"5,5";"5,8";"4,6";"918,7";"918,7";"918,1";"0,2";"164,0";"2,8";"584,80";"0,0"
"30/05/2025";"1400";"8,3";"8,6";"6,2";"84,0";"95,0";"84,0";"5,9";"7,1";"5,4";"918,7";"918,8";"918,6";"0,2";"168,0";"2,4";"1422,80";"0,0"
"30/05/2025";"1500";"11,4";"11,9";"8,3";"73,0";"85,0";"71,0";"6,8";"7,5";"5,7";"918,1";"918,7";"918,1";"0,2";"158,0";"2,1";"2179,50";"0,0"
"30/05/2025";"1600";"13,8";"14,0";"11,4";"65,0";"74,0";"64,0";"7,2";"8,4";"6,1";"917,2";"918,1";"917,2";"0,4";"353,0";"3,3";"2295,40";"0,0"
"30/05/2025";"1700";"15,4";"16,0";"13,1";"61,0";"70,0";"59,0";"7,8";"8,8";"6,8";"916,2";"917,2";"916,2";"0,8";"8,0";"4,2";"2153,40";"0,0"
"30/05/2025";"1800";"16,3";"16,8";"15,3";"60,0";"63,0";"58,0";"8,5";"9,2";"7,8";"915,6";"916,2";"915,6";"1,3";"261,0";"3,9";"1806,50";"0,0"
"30/05/2025";"1900";"16,7";"17,0";"16,0";"58,0";"61,0";"57,0";"8,4";"8,9";"7,7";"915,4";"915,6";"915,4";"1,4";"257,0";"3,4";"1344,20";"0,0"
"30/05/2025";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/05/2025";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/05/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/05/2025";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
